compound_name,cas_number,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id,,
Levodopa,59-92-7,Mus musculus,Swiss,40 mg/g,28.18,,MALE,S,850799,,
Levodopa,59-92-7,Mus musculus,Swiss,20 mg/g,14.95,,MALE,S,850799,,
Levodopa,59-92-7,Mus musculus,Swiss,1 mg/g,3.89,,MALE,NS,850799,,
Diethylnitrosamine,55-18-5,Mesocricetus auratus,ENG:ELA,0.25 mg,-9.8,,MALE,S,943562,,
Sodium tungstate,13472-45-2,Rattus norvegicus,Long-Evans,5 ppm,-13.37,-15.53,MALE,S,1113208,,
Sodium tungstate,13472-45-2,Rattus norvegicus,Long-Evans,5 ppm,-3.57,-12.18,FEMALE,NS,1113208,,
Lead acetate,301-04-2,Mus musculus,Swiss,25 ppm,-4.57,-4.03,MALE,NS,1113210,,
Lead acetate,301-04-2,Mus musculus,Swiss,25 ppm,15.53,1.27,FEMALE,NS,1113210,,
Nickelous acetate,373-02-4,Mus musculus,Swiss,5 ppm,-7.04,1.71,MALE,NS,1113210,,
Nickelous acetate,373-02-4,Mus musculus,Swiss,5 ppm,5.48,4.99,FEMALE,S,1113210,,
Vanadyl sulfate,27774-13-6,Mus musculus,Swiss,5 ppm,0.17,18.23,MALE,S,1113210,,
Vanadyl sulfate,27774-13-6,Mus musculus,Swiss,5 ppm,12.43,16.14,FEMALE,S,1113210,,
Potassium titanium oxalate,14481-26-6,Mus musculus,Swiss,5 ppm,-5.36,5.99,MALE,NS,1113210,,
Potassium titanium oxalate,14481-26-6,Mus musculus,Swiss,5 ppm,-0.36,-4.76,FEMALE,NS,1113210,,
Aluminum potassium sulfate,10043-67-1,Mus musculus,Swiss,5 ppm,-5.64,7.52,MALE,NS,1113210,,
Aluminum potassium sulfate,10043-67-1,Mus musculus,Swiss,5 ppm,-2.78,-4.29,FEMALE,NS,1113210,,
Barium acetate,543-80-6,Mus musculus,Swiss,5 ppm,-8.8,-15.94,MALE,S,1113210,,
Barium acetate,543-80-6,Mus musculus,Swiss,5 ppm,7.6,-14.88,FEMALE,NS,1113210,,
Beryllium sulfate,13510-49-1,Mus musculus,Swiss,5 ppm,-8.97,24.05,MALE,NS,1113210,,
Beryllium sulfate,13510-49-1,Mus musculus,Swiss,5 ppm,10.57,0,FEMALE,NS,1113210,,
Mercuric chloride,7487-94-7,Mus musculus,Swiss,5 ppm,-10.29,-15.04,MALE,NS,1113210,,
Mercuric chloride,7487-94-7,Mus musculus,Swiss,5 ppm,6.67,-15.18,FEMALE,NS,1113210,,
Methylmercury acetate,108-07-6,Mus musculus,Swiss,1 ppm,2.32,-20.69,MALE,NS,1113210,,
Methylmercury acetate,108-07-6,Mus musculus,Swiss,1 ppm,2.04,-3.59,FEMALE,NS,1113210,,
Sodium metaborate,7775-19-1,Mus musculus,Swiss,5 ppm,29.85,-7.01,MALE,NS,1113210,,
Sodium metaborate,7775-19-1,Mus musculus,Swiss,5 ppm,-2.94,-9.63,FEMALE,NS,1113210,,
Sodium tungstate,13472-45-2,Mus musculus,Swiss,5 ppm,40.75,-19.96,MALE,S,1113210,,
Sodium metaborate,7775-19-1,Mus musculus,Swiss,5 ppm,-3.24,-9.45,FEMALE,NS,1113210,,
Prednisolone sodium phosphate,125-02-0,Mus musculus,DBA/2J,3 μg/mL,0.38,4.34,FEMALE,NS,1132444,,
L-Gulonolactone,1128-23-0,Drosophila melanogaster,Oregon-R,0.8 M,-40.3,,MALE,S,1756780,,
L-Gulonolactone,1128-23-0,Drosophila melanogaster,Oregon-R,0.08 M,-9,,MALE,S,1756780,,
L-Gulonolactone,1128-23-0,Drosophila melanogaster,Oregon-R,0.008 M,-4.5,,MALE,NS,1756780,,
Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.1 M,-3.4,,MALE,S,1756780,,
Ascorbic acid,50-81-7,Drosophila melanogaster,Oregon-R,0.01 M,1.7,,MALE,NS,1756780,,
Ascorbic acid,50-81-7,Drosophila melanogaster,Swedish C,0.1 M,0,,MALE,NS,1756780,,
Ascorbic acid,50-81-7,Drosophila melanogaster,Swedish C,0.01 M,4.4,,MALE,NS,1756780,,
Ascorbic acid,50-81-7,Drosophila melanogaster,Swedish C,0.001 M,0,,MALE,NS,1756780,,
Xanthine,,Drosophila melanogaster,Oregon-R,0.45 mM,1.8,,MALE,NS,1800135,,
L-deprenyl,14611-51-9,Rattus norvegicus,Fischer 344,0.0025,16.7,17,,S,2118586,,
Sodium borate,,Drosophila melanogaster,Oregon-R,0.01 M,-69.2,,MALE,S,2325439,,
Sodium borate,,Drosophila melanogaster,Oregon-R,0.005 M,-51.9,,MALE,S,2325439,,
Sodium borate,,Drosophila melanogaster,Oregon-R,0.001 M,-21.2,,MALE,S,2325439,,
Sodium borate,,Drosophila melanogaster,Oregon-R,0.0001 M,3,,MALE,S,2325439,,
Sodium borate,,Drosophila melanogaster,Oregon-R,0.00001 M,1.5,,MALE,S,2325439,,
Sodium borate,,Drosophila melanogaster,Oregon-R,0.000001,0,,MALE,NS,2325439,,
Sodium borate,,Drosophila melanogaster,Oregon-R,0.00025 M,9.5,,MALE,S,2325439,,
Taurine,107-35-7,Drosophila melanogaster,Oregon-R,0.2 M,-0.32,,MALE,NS,2495975,,
Taurine,107-35-7,Drosophila melanogaster,Oregon-R,0.1 M,-0.49,,MALE,NS,2495975,,
Taurine,107-35-7,Drosophila melanogaster,Oregon-R,0.05 M,2.28,,MALE,NS,2495975,,
Hypotaurine,300-84-5,Drosophila melanogaster,Oregon-R,0.1 M,-39.76,,MALE,S,2495975,,
Hypotaurine,300-84-5,Drosophila melanogaster,Oregon-R,0.01 M,2.38,,MALE,NS,2495975,,
Hypotaurine,300-84-5,Drosophila melanogaster,Oregon-R,0.001 M,2.18,,MALE,NS,2495975,,
Beta-alanine,107-95-9,Drosophila melanogaster,Oregon-R,0.1 M,-4.17,,MALE,NS,2495975,,
Beta-alanine,107-95-9,Drosophila melanogaster,Oregon-R,0.01 M,-2.08,,MALE,NS,2495975,,
Beta-alanine,107-95-9,Drosophila melanogaster,Oregon-R,0.001 M,-6.74,,MALE,NS,2495975,,
Pineal gland-derived polyeptide factors,,Mus musculus,,0.1 mg,20,,FEMALE,S,2682058,,
Thymus-derived polypeptide factors,,Mus musculus,,0.1 mg,,,FEMALE,S,2682058,,
Cortisone,53-06-5,Asplanchna brightwelli,clone 4B61,400 µM,-3.2,0,,NS,2782995,,
